Date,africa,asia,antarctica,atlantic,arctic,australia,europe,indian-ocean,north-america,pacific,south-america
1943-02-4,false,true,false,false,false,false,false,false,true,true,false
1948-05-9,false,true,false,false,true,false,true,true,true,true,false
1950-09-12,false,true,false,false,true,false,true,false,true,true,false
1953-02-14,false,true,false,false,false,false,false,false,true,true,false
1957-04-30,false,true,false,false,true,false,true,false,true,true,false
1959-04-8,false,true,true,false,false,true,false,true,false,true,false
1960-09-20,false,true,false,true,true,false,false,false,true,true,false
1962-02-5,false,true,false,false,false,true,false,true,true,true,false
1963-07-20,false,true,false,true,true,false,true,false,true,true,true
1964-07-9,false,true,false,false,true,false,false,false,true,false,false
1964-12-4,false,true,false,false,false,false,false,false,false,true,false
1967-05-9,false,true,false,true,true,false,true,false,true,true,false
1969-09-11,false,true,false,true,false,false,false,false,true,true,true
1971-07-22,false,true,false,false,false,false,false,false,true,false,false
1972-07-10,false,true,false,true,true,false,true,false,true,true,true
1977-10-12,false,true,false,true,true,false,false,false,true,true,true
1978-10-2,false,true,false,false,true,false,true,false,false,true,false
1981-07-31,false,true,false,false,true,false,true,false,true,true,false
1982-07-20,false,true,false,true,true,false,true,false,true,false,false
1984-11-22,false,true,true,true,false,true,false,true,false,true,true
1985-05-19,false,true,false,true,true,false,true,false,true,true,false
1986-04-9,false,true,true,false,false,true,false,true,false,true,false
1986-10-3,false,true,false,true,true,false,false,false,true,true,true
1987-09-23,false,true,false,false,true,true,true,false,false,true,false
1988-03-18,false,true,false,false,true,true,false,true,true,true,false
1989-03-7,false,true,false,false,true,false,false,false,true,true,false
1990-07-22,false,true,false,false,true,false,true,false,true,true,false
1991-01-15,false,true,true,false,false,true,false,true,false,true,false
1992-01-4,false,true,false,false,false,true,false,false,true,true,false
1992-12-24,false,true,false,false,false,false,false,false,false,true,false
1993-05-21,false,true,false,true,true,false,true,false,true,true,false
1997-03-9,false,true,false,false,true,false,false,false,true,true,false
1997-09-2,false,true,true,false,false,true,false,true,false,true,false
1998-08-22,false,true,false,false,false,true,false,true,false,true,false
2000-07-31,false,true,false,false,true,false,true,false,true,true,false
2002-06-10,false,true,false,true,false,true,false,false,true,true,false
2003-11-23,false,true,true,true,false,true,false,true,false,true,true
2004-10-14,false,true,false,false,true,false,false,false,true,true,false
2007-03-19,false,true,false,false,true,false,true,false,true,true,false
2008-08-1,false,true,false,true,true,false,true,true,true,false,false
2009-07-22,false,true,false,false,false,true,false,true,false,true,false
2011-06-1,false,true,false,true,true,false,true,false,true,true,false
2012-05-20,false,true,false,true,true,false,true,false,true,true,false
2012-11-13,false,true,true,true,false,true,false,false,false,true,true
2013-05-10,false,true,false,false,false,true,false,true,false,true,false
2014-04-29,false,true,true,false,false,true,false,true,false,true,false
2014-10-23,false,true,false,true,false,false,false,false,true,true,false
2016-03-9,false,true,false,false,false,true,false,true,false,true,false
2018-08-11,false,true,false,true,true,false,true,false,true,false,false
2019-01-6,false,true,false,false,false,false,false,false,false,true,false
1902-05-7,false,false,true,false,false,true,false,false,false,true,false
1906-02-23,false,false,true,true,false,true,false,true,false,true,false
1906-07-21,false,false,true,true,false,false,false,false,false,false,true
1909-12-12,false,false,true,true,false,true,false,true,false,true,false
