Date,Length,DistanceFromMean,TrueAnomaly
2001-01-24 13:07,29d 19h 14m,+07h01m,177.9
2001-02-23 08:21,29d 17h 00m,+04h16m,202.8
2001-03-25 01:21,29d 14h 05m,+01h21m,232.3
2001-04-23 15:26,29d 11h 20m,-01h24m,267.3
2001-05-23 02:46,29d 09h 12m,-03h32m,299.7
2001-06-21 11:58,29d 07h 47m,-04h57m,324.1
2001-07-20 19:44,29d 07h 11m,-05h33m,342.5
2001-08-19 02:55,29d 07h 32m,-05h12m,358.1
2001-09-17 10:27,29d 08h 56m,-03h48m,13.2
2001-10-16 19:23,29d 11h 17m,-01h27m,30.5
2001-11-15 06:40,29d 14h 07m,+01h23m,53.5
2001-12-14 20:47,29d 16h 41m,+03h57m,86.2
2002-01-13 13:29,29d 18h 12m,+05h28m,123.9
2002-02-12 07:41,29d 18h 22m,+05h38m,155.3
2002-03-14 02:03,29d 17h 19m,+04h35m,180.3
2002-04-12 19:21,29d 15h 24m,+02h40m,204.7
2002-05-12 10:45,29d 13h 01m,+00h17m,233.6
2002-06-10 23:47,29d 10h 40m,-02h05m,268.1
2002-07-10 10:26,29d 08h 49m,-03h55m,300.4
2002-08-08 19:15,29d 07h 55m,-04h49m,324.8
2002-09-07 03:10,29d 08h 07m,-04h37m,343.1
2002-10-06 11:18,29d 09h 17m,-03h27m,358.6
2002-11-04 20:34,29d 11h 00m,-01h44m,14.0
2002-12-04 07:34,29d 12h 48m,+00h04m,32.1
2003-01-02 20:23,29d 14h 26m,+01h41m,56.5
2003-02-01 10:48,29d 15h 47m,+03h03m,90.6
2003-03-03 02:35,29d 16h 44m,+04h00m,127.8
2003-04-01 19:19,29d 16h 56m,+04h12m,157.7
2003-05-01 12:15,29d 16h 05m,+03h21m,181.7
2003-05-31 04:20,29d 14h 19m,+01h35m,205.5
2003-06-29 18:39,29d 12h 14m,-00h30m,234.1
2003-07-29 06:53,29d 10h 34m,-02h10m,268.5
2003-08-27 17:26,29d 09h 43m,-03h01m,301.0
2003-09-26 03:09,29d 09h 41m,-03h03m,325.5
2003-10-25 12:50,29d 10h 09m,-02h35m,344.0
2003-11-23 22:59,29d 10h 44m,-02h00m,359.8
2003-12-23 09:43,29d 11h 22m,-01h22m,15.5
2004-01-21 21:05,29d 12h 13m,-00h31m,33.9
2004-02-20 09:18,29d 13h 24m,+00h40m,59.1
2004-03-20 22:41,29d 14h 40m,+01h56m,93.6
2004-04-19 13:21,29d 15h 31m,+02h47m,129.7
2004-05-19 04:52,29d 15h 35m,+02h51m,158.3
2004-06-17 20:27,29d 14h 57m,+02h13m,181.6
2004-07-17 11:24,29d 14h 00m,+01h16m,205.1
2004-08-16 01:24,29d 13h 05m,+00h21m,234.0
2004-09-14 14:29,29d 12h 19m,-00h25m,269.4
2004-10-14 02:48,29d 11h 39m,-01h05m,302.8
2004-11-12 14:27,29d 11h 02m,-01h42m,327.5
2004-12-12 01:29,29d 10h 34m,-02h10m,345.8
2005-01-10 12:03,29d 10h 25m,-02h19m,1.4
2005-02-08 22:28,29d 10h 42m,-02h02m,17.1
2005-03-10 09:10,29d 11h 22m,-01h22m,36.2
2005-04-08 20:32,29d 12h 13m,-00h31m,62.3
2005-05-08 08:45,29d 13h 10m,+00h26m,96.6
2005-06-06 21:55,29d 14h 07m,+01h23m,131.2
2005-07-06 12:02,29d 15h 02m,+02h18m,158.8
2005-08-05 03:05,29d 15h 41m,+02h57m,181.9
2005-09-03 18:45,29d 15h 42m,+02h58m,205.9
2005-10-03 10:28,29d 14h 57m,+02h13m,236.1
2005-11-02 01:25,29d 13h 36m,+00h52m,273.1
2005-12-01 15:01,29d 12h 11m,-00h33m,306.3
2005-12-31 03:12,29d 11h 03m,-01h41m,329.9
2006-01-29 14:15,29d 10h 16m,-02h28m,347.5
2006-02-28 00:31,29d 09h 44m,-03h00m,2.9
2006-03-29 10:15,29d 09h 29m,-03h15m,19.0
2006-04-27 19:44,29d 09h 42m,-03h02m,38.4
2006-05-27 05:26,29d 10h 40m,-02h04m,64.2
2006-06-25 16:05,29d 12h 26m,-00h18m,97.5
2006-07-25 04:31,29d 14h 39m,+01h55m,131.2
2006-08-23 19:10,29d 16h 35m,+03h51m,158.8
2006-09-22 11:45,29d 17h 29m,+04h45m,182.3
2006-10-22 05:14,29d 17h 04m,+04h20m,207.1
2006-11-20 22:18,29d 15h 43m,+02h59m,238.7
2006-12-20 14:01,29d 14h 00m,+01h16m,276.5
2007-01-19 04:01,29d 12h 14m,-00h30m,308.6
2007-02-17 16:14,29d 10h 28m,-02h16m,331.4
2007-03-19 02:43,29d 08h 53m,-03h51m,348.7
2007-04-17 11:36,29d 07h 51m,-04h53m,4.0
2007-05-16 19:27,29d 07h 46m,-04h58m,19.8
2007-06-15 03:13,29d 08h 51m,-03h53m,38.7
2007-07-14 12:04,29d 10h 59m,-01h45m,64.2
2007-08-12 23:03,29d 13h 42m,+00h58m,97.3
2007-09-11 12:44,29d 16h 16m,+03h32m,131.4
2007-10-11 05:01,29d 18h 02m,+05h18m,159.5
2007-11-09 23:03,29d 18h 37m,+05h53m,183.8
2007-12-09 17:40,29d 17h 57m,+05h13m,209.6
2008-01-08 11:37,29d 16h 07m,+03h23m,242.4
2008-02-07 03:45,29d 13h 30m,+00h46m,280.0
2008-03-07 17:14,29d 10h 41m,-02h03m,310.8
2008-04-06 03:55,29d 08h 23m,-04h21m,332.7
2008-05-05 12:18,29d 07h 04m,-05h40m,349.4
2008-06-03 19:23,29d 06h 56m,-05h48m,4.4
2008-07-03 02:19,29d 07h 54m,-04h50m,20.1
2008-08-01 10:13,29d 09h 45m,-02h59m,39.2
2008-08-30 19:58,29d 12h 14m,-00h30m,64.9
2008-09-29 08:12,29d 15h 02m,+02h18m,98.7
2008-10-28 23:14,29d 17h 41m,+04h57m,133.4
2008-11-27 16:55,29d 19h 28m,+06h44m,161.9
2008-12-27 12:22,29d 19h 33m,+06h49m,186.6
2009-01-26 07:55,29d 17h 40m,+04h56m,213.2
2009-02-25 01:35,29d 14h 31m,+01h47m,246.2
2009-03-26 16:06,29d 11h 17m,-01h27m,282.4
2009-04-25 03:23,29d 08h 48m,-03h56m,311.7
2009-05-24 12:11,29d 07h 24m,-05h20m,332.7
2009-06-22 19:35,29d 07h 00m,-05h44m,349.4
2009-07-22 02:35,29d 07h 27m,-05h17m,4.5
2009-08-20 10:02,29d 08h 43m,-04h01m,20.3
2009-09-18 18:44,29d 10h 49m,-01h55m,39.3
2009-10-18 05:33,29d 13h 41m,+00h57m,65.2
2009-11-16 19:14,29d 16h 48m,+04h04m,99.9
2009-12-16 12:02,29d 19h 09m,+06h25m,135.6
2010-01-15 07:11,29d 19h 40m,+06h56m,164.3
2010-02-14 02:51,29d 18h 10m,+05h26m,188.9
2010-03-15 21:01,29d 15h 28m,+02h44m,215.2
2010-04-14 12:29,29d 12h 35m,-00h09m,247.4
2010-05-14 01:04,29d 10h 10m,-02h34m,282.4
2010-06-12 11:15,29d 08h 26m,-04h18m,311.3
2010-07-11 19:40,29d 07h 28m,-05h16m,332.7
2010-08-10 03:08,29d 07h 22m,-05h22m,349.5
2010-09-08 10:30,29d 08h 15m,-04h29m,4.6
2010-10-07 18:44,29d 10h 07m,-02h37m,20.4
2010-11-06 04:52,29d 12h 44m,-00h00m,39.7
2010-12-05 17:36,29d 15h 27m,+02h43m,67.0
2011-01-04 09:03,29d 17h 28m,+04h44m,103.5
2011-02-03 02:31,29d 18h 15m,+05h31m,139.2
2011-03-04 20:46,29d 17h 46m,+05h02m,167.0
2011-04-03 14:32,29d 16h 18m,+03h34m,190.9
2011-05-03 06:51,29d 14h 12m,+01h28m,216.7
2011-06-01 21:03,29d 11h 51m,-00h53m,248.4
2011-07-01 08:54,29d 09h 46m,-02h58m,283.1
2011-07-30 18:40,29d 08h 24m,-04h20m,312.1
2011-08-29 03:04,29d 08h 05m,-04h39m,333.4
2011-09-27 11:09,29d 08h 47m,-03h57m,350.1
2011-10-26 19:56,29d 10h 14m,-02h30m,5.3
2011-11-25 06:10,29d 11h 57m,-00h47m,21.6
2011-12-24 18:06,29d 13h 33m,+00h49m,42.1
2012-01-23 07:39,29d 14h 55m,+02h11m,70.8
2012-02-21 22:35,29d 16h 03m,+03h18m,107.8
2012-03-22 14:37,29d 16h 41m,+03h57m,142.2
2012-04-21 07:18,29d 16h 29m,+03h45m,168.7
2012-05-20 23:47,29d 15h 15m,+02h31m,191.8
2012-06-19 15:02,29d 13h 22m,+00h38m,217.1
2012-07-19 04:24,29d 11h 30m,-01h14m,248.7
2012-08-17 15:54,29d 10h 16m,-02h28m,283.7
2012-09-16 02:11,29d 09h 52m,-02h52m,312.9
2012-10-15 12:02,29d 10h 05m,-02h39m,334.3
2012-11-13 22:08,29d 10h 34m,-02h10m,351.3
2012-12-13 08:42,29d 11h 02m,-01h42m,6.8
2013-01-11 19:44,29d 11h 36m,-01h08m,23.3
2013-02-10 07:20,29d 12h 31m,-00h13m,44.2
2013-03-11 19:51,29d 13h 44m,+01h00m,73.6
2013-04-10 09:35,29d 14h 53m,+02h09m,110.3
2013-05-10 00:28,29d 15h 28m,+02h44m,143.3
2013-06-08 15:56,29d 15h 18m,+02h34m,168.8
2013-07-08 07:14,29d 14h 36m,+01h52m,191.6
2013-08-06 21:51,29d 13h 45m,+01h01m,216.9
2013-09-05 11:36,29d 12h 58m,+00h14m,249.2
2013-10-05 00:34,29d 12h 15m,-00h29m,285.3
2013-11-03 12:50,29d 11h 32m,-01h12m,315.0
2013-12-03 00:22,29d 10h 52m,-01h52m,336.4
2014-01-01 11:14,29d 10h 24m,-02h20m,353.0
2014-01-30 21:39,29d 10h 21m,-02h23m,8.3
2014-03-01 08:00,29d 10h 45m,-01h59m,25.1
2014-03-30 18:45,29d 11h 30m,-01h14m,46.9
2014-04-29 06:14,29d 12h 26m,-00h18m,76.9
2014-05-28 18:40,29d 13h 28m,+00h44m,112.5
2014-06-27 08:08,29d 14h 33m,+01h49m,144.1
2014-07-26 22:42,29d 15h 31m,+02h47m,169.2
2014-08-25 14:13,29d 16h 01m,+03h17m,192.1
2014-09-24 06:14,29d 15h 43m,+02h59m,218.3
2014-10-23 21:57,29d 14h 36m,+01h52m,252.3
2014-11-22 12:32,29d 13h 04m,+00h20m,289.3
2014-12-22 01:36,29d 11h 38m,-01h06m,318.0
2015-01-20 13:14,29d 10h 34m,-02h10m,338.3
2015-02-18 23:47,29d 09h 49m,-02h55m,354.5
2015-03-20 09:36,29d 09h 21m,-03h23m,9.9
2015-04-18 18:57,29d 09h 16m,-03h28m,27.1
2015-05-18 04:13,29d 09h 52m,-02h52m,48.8
2015-06-16 14:05,29d 11h 19m,-01h25m,78.1
2015-07-16 01:24,29d 13h 29m,+00h45m,112.8
2015-08-14 14:53,29d 15h 48m,+03h04m,144.1
2015-09-13 06:41,29d 17h 24m,+04h40m,169.3
2015-10-13 00:06,29d 17h 41m,+04h57m,192.9
2015-11-11 17:47,29d 16h 42m,+03h58m,220.3
2015-12-11 10:29,29d 15h 01m,+02h17m,255.6
2016-01-10 01:31,29d 13h 08m,+00h24m,292.2
2016-02-08 14:39,29d 11h 16m,-01h28m,319.8
2016-03-09 01:54,29d 09h 29m,-03h15m,339.5
2016-04-07 11:24,29d 08h 06m,-04h38m,355.6
2016-05-06 19:29,29d 07h 30m,-05h14m,10.8
2016-06-05 03:00,29d 08h 01m,-04h43m,27.6
2016-07-04 11:01,29d 09h 44m,-03h01m,48.9
2016-08-02 20:45,29d 12h 19m,-00h25m,77.9
2016-09-01 09:03,29d 15h 08m,+02h24m,112.8
2016-10-01 00:11,29d 17h 27m,+04h43m,144.6
2016-10-30 17:38,29d 18h 40m,+05h56m,170.6
2016-11-29 12:18,29d 18h 35m,+05h51m,194.9
2016-12-29 06:53,29d 17h 14m,+04h30m,223.4
2017-01-28 00:07,29d 14h 51m,+02h07m,259.5
2017-02-26 14:58,29d 11h 59m,-00h45m,295.0
2017-03-28 02:57,29d 09h 19m,-03h25m,321.4
2017-04-26 12:16,29d 07h 28m,-05h16m,340.4
2017-05-25 19:44,29d 06h 46m,-05h58m,356.0
2017-06-24 02:31,29d 07h 15m,-05h29m,11.0
2017-07-23 09:46,29d 08h 45m,-03h59m,27.9
2017-08-21 18:30,29d 11h 00m,-01h44m,49.5
2017-09-20 05:30,29d 13h 42m,+00h58m,79.0
2017-10-19 19:12,29d 16h 30m,+03h46m,114.6
2017-11-18 11:42,29d 18h 48m,+06h04m,147.0
2017-12-18 06:30,29d 19h 47m,+07h03m,173.3
2018-01-17 02:17,29d 18h 48m,+07h03m,198.1
2018-02-15 21:05,29d 16h 06m,+03h22m,227.1
2018-03-17 13:12,29d 12h 46m,+00h02m,262.6
2018-04-16 01:57,29d 09h 51m,-02h53m,296.5
2018-05-15 11:48,29d 07h 55m,-04h49m,321.7
2018-06-13 19:43,29d 07h 05m,-05h39m,340.3
2018-07-13 02:48,29d 07h 10m,-05h34m,356.0
2018-08-11 09:58,29d 08h 04m,-04h40m,11.2
2018-09-09 18:01,29d 09h 45m,-02h59m,28.0
2018-10-09 03:47,29d 12h 15m,-00h29m,49.6
2018-11-07 16:02,29d 15h 18m,+02h34m,79.7
2018-12-07 07:20,29d 18h 08m,+05h24m,116.6
2019-01-06 01:28,29d 19h 35m,+06h51m,149.4
2019-02-04 21:04,29d 19h 00m,+06h16m,175.6
2019-03-06 16:04,29d 16h 47m,+04h02m,200.2
2019-04-05 08:50,29d 13h 55m,+01h11m,228.7
2019-05-04 22:45,29d 11h 16m,-01h28m,263.0
2019-06-03 10:02,29d 09h 14m,-03h30m,296.1
2019-07-02 19:16,29d 07h 56m,-04h48m,321.4
2019-08-01 03:12,29d 07h 25m,-05h19m,340.5
2019-08-30 10:37,29d 07h 49m,-04h55m,356.3
2019-09-28 18:26,29d 09h 12m,-03h32m,11.4
2019-10-28 03:38,29d 11h 27m,-01h17m,28.3
2019-11-26 15:06,29d 14h 08m,+01h23m,50.7
2019-12-26 05:13,29d 16h 29m,+03h45m,82.6
2020-01-24 21:42,29d 17h 50m,+05h06m,120.5
2020-02-23 15:32,29d 17h 56m,+05h12m,152.6
2020-03-24 09:28,29d 16h 58m,+04h14m,177.9
2020-04-23 02:26,29d 15h 13m,+02h29m,201.8
2020-05-22 17:39,29d 13h 03m,+00h19m,229.8
2020-06-21 06:41,29d 10h 52m,-01h53m,263.8
2020-07-20 17:33,29d 09h 09m,-03h35m,296.9
2020-08-19 02:42,29d 08h 19m,-04h26m,322.3
2020-09-17 11:00,29d 08h 31m,-04h13m,341.2
2020-10-16 19:31,29d 09h 36m,-03h08m,357.0
2020-11-15 05:07,29d 11h 09m,-01h35m,12.4
2020-12-14 16:17,29d 12h 44m,-00h00m,30.1
2021-01-13 05:00,29d 14h 05m,+01h21m,53.8
2021-02-11 19:06,29d 15h 15m,+02h31m,87.0
2021-03-13 10:21,29d 16h 10m,+03h26m,124.3
2021-04-12 02:31,29d 16h 29m,+03h45m,154.8
2021-05-11 19:00,29d 15h 53m,+03h09m,178.9
2021-06-10 10:53,29d 14h 24m,+01h40m,202.3
2021-07-10 01:17,29d 12h 34m,-00h11m,230.1
2021-08-08 13:50,29d 11h 02m,-01h42m,264.3
2021-09-07 00:52,29d 10h 14m,-02h30m,297.8
2021-10-06 11:05,29d 10h 09m,-02h35m,323.3
2021-11-04 21:15,29d 10h 28m,-02h16m,342.3
2021-12-04 07:43,29d 10h 50m,-01h54m,358.3
2022-01-02 18:33,29d 11h 13m,-01h32m,13.9
2022-02-01 05:46,29d 11h 49m,-00h55m,32.0
2022-03-02 17:35,29d 12h 50m,+00h06m,56.3
2022-04-01 06:24,29d 14h 04m,+01h20m,89.8
2022-04-30 20:28,29d 15h 02m,+02h18m,126.0
2022-05-30 11:30,29d 15h 22m,+02h38m,155.2
2022-06-29 02:52,29d 15h 03m,+02h19m,178.8
2022-07-28 17:55,29d 14h 22m,+01h38m,202.0
2022-08-27 08:17,29d 13h 37m,+00h53m,230.2
2022-09-25 21:54,29d 12h 54m,+00h10m,265.5
2022-10-25 10:49,29d 12h 09m,-00h36m,299.9
2022-11-23 22:57,29d 11h 20m,-01h24m,325.5
2022-12-23 10:17,29d 10h 36m,-02h08m,344.3
2023-01-21 20:53,29d 10h 13m,-02h31m,360.0
2023-02-20 07:06,29d 10h 17m,-02h27m,15.6
2023-03-21 17:23,29d 10h 49m,-01h55m,34.1
2023-04-20 04:12,29d 11h 41m,-01h03m,59.2
2023-05-19 15:53,29d 12h 44m,-00h00m,92.6
2023-06-18 04:37,29d 13h 55m,+01h11m,127.4
2023-07-17 18:32,29d 15h 06m,+02h22m,155.7
2023-08-16 09:38,29d 16h 02m,+03h18m,179.2
2023-09-15 01:40,29d 16h 15m,+03h31m,202.9
2023-10-14 17:55,29d 15h 32m,+02h48m,232.5
2023-11-13 09:27,29d 14h 05m,+01h21m,269.5
2023-12-12 23:32,29d 12h 25m,-00h19m,303.6
2024-01-11 11:57,29d 11h 02m,-01h42m,328.0
2024-02-09 22:59,29d 10h 01m,-02h43m,345.9
2024-03-10 09:00,29d 09h 20m,-03h24m,1.4
2024-04-08 18:21,29d 09h 01m,-03h43m,17.2
2024-05-08 03:22,29d 09h 16m,-03h28m,36.0
2024-06-06 12:38,29d 10h 20m,-02h24m,60.7
2024-07-05 22:57,29d 12h 16m,-00h28m,93.2
2024-08-04 11:13,29d 14h 43m,+01h58m,127.3
2024-09-03 01:56,29d 16h 54m,+04h10m,155.7
2024-10-02 18:49,29d 17h 58m,+05h14m,179.7
2024-11-01 12:47,29d 17h 34m,+04h50m,204.3
2024-12-01 06:21,29d 16h 05m,+03h21m,235.3
2024-12-30 22:27,29d 14h 09m,+01h25m,272.9
2025-01-29 12:36,29d 12h 09m,-00h35m,305.9
2025-02-28 00:45,29d 10h 13m,-02h31m,329.3
2025-03-29 10:58,29d 08h 33m,-04h11m,346.9
2025-04-27 19:31,29d 07h 31m,-05h13m,2.3
2025-05-27 03:02,29d 07h 29m,-05h15m,17.8
2025-06-25 10:32,29d 08h 40m,-04h04m,36.2
2025-07-24 19:11,29d 10h 55m,-01h49m,60.5
2025-08-23 06:06,29d 13h 48m,+01h04m,93.0
2025-09-21 19:54,29d 16h 31m,+03h47m,127.7
2025-10-21 12:25,29d 18h 22m,+05h38m,156.8
2025-11-20 06:47,29d 18h 56m,+06h12m,181.4
2025-12-20 01:43,29d 18h 09m,+05h25m,207.0
2026-01-18 19:52,29d 16h 09m,+03h25m,239.0
2026-02-17 12:01,29d 13h 22m,+00h38m,276.3
2026-03-19 01:23,29d 10h 28m,-02h16m,307.9
2026-04-17 11:52,29d 08h 09m,-04h35m,330.4
2026-05-16 20:01,29d 06h 53m,-05h51m,347.5
2026-06-15 02:54,29d 06h 49m,-05h55m,2.5
2026-07-14 09:44,29d 07h 53m,-04h51m,18.0
2026-08-12 17:37,29d 09h 50m,-02h54m,36.5
2026-09-11 03:27,29d 12h 23m,-00h21m,61.3
2026-10-10 15:50,29d 15h 12m,+02h28m,94.5
2026-11-09 07:02,29d 17h 50m,+05h06m,129.9
2026-12-09 00:52,29d 19h 33m,+06h48m,159.4
2027-01-07 20:24,29d 19h 32m,+06h48m,184.3
2027-02-06 15:56,29d 17h 33m,+04h49m,210.4
2027-03-08 09:29,29d 14h 22m,+01h38m,242.4
2027-04-06 23:51,29d 11h 07m,-01h37m,278.5
2027-05-06 10:59,29d 08h 42m,-04h02m,308.6
2027-06-04 19:40,29d 07h 22m,-05h22m,330.4
2027-07-04 03:02,29d 07h 03m,-05h41m,347.4
2027-08-02 10:05,29d 07h 36m,-05h08m,2.6
2027-08-31 17:41,29d 08h 55m,-03h49m,18.2
2027-09-30 02:36,29d 11h 00m,-01h44m,36.7
2027-10-29 13:36,29d 13h 48m,+01h04m,61.7
2027-11-28 03:24,29d 16h 48m,+04h04m,96.0
2027-12-27 20:12,29d 19h 00m,+06h16m,132.4
2028-01-26 15:12,29d 19h 25m,+06h41m,161.9
2028-02-25 10:37,29d 17h 54m,+05h10m,186.5
2028-03-26 04:31,29d 15h 16m,+02h32m,212.1
2028-04-24 19:47,29d 12h 29m,-00h15m,243.3
2028-05-24 08:16,29d 10h 11m,-02h33m,278.2
2028-06-22 18:27,29d 08h 34m,-04h10m,308.1
2028-07-22 03:02,29d 07h 42m,-05h02m,330.4
2028-08-20 10:44,29d 07h 40m,-05h04m,347.7
2028-09-18 18:24,29d 08h 33m,-04h11m,2.9
2028-10-18 02:57,29d 10h 21m,-02h23m,18.5
2028-11-16 13:18,29d 12h 48m,+00h04m,37.4
2028-12-16 02:06,29d 15h 18m,+02h34m,63.8
2029-01-14 17:24,29d 17h 07m,+04h23m,99.9
2029-02-13 10:31,29d 17h 48m,+05h04m,136.2
2029-03-15 04:19,29d 17h 21m,+04h37m,164.5
2029-04-13 21:40,29d 16h 02m,+03h18m,188.3
2029-05-13 13:42,29d 14h 08m,+01h24m,213.4
2029-06-12 03:50,29d 12h 01m,-00h44m,244.2
2029-07-11 15:51,29d 10h 05m,-02h39m,279.1
2029-08-10 01:56,29d 08h 49m,-03h55m,309.2
2029-09-08 10:44,29d 08h 30m,-04h14m,331.3
2029-10-07 19:14,29d 09h 10m,-03h34m,348.5
2029-11-06 04:24,29d 10h 28m,-02h16m,3.8
2029-12-05 14:52,29d 11h 57m,-00h47m,19.9
2030-01-04 02:49,29d 13h 18m,+00h34m,39.8
2030-02-02 16:07,29d 14h 27m,+01h43m,67.6
2030-03-04 06:35,29d 15h 28m,+02h44m,104.1
2030-04-02 22:02,29d 16h 10m,+03h26m,139.0
2030-05-02 14:12,29d 16h 09m,+03h25m,165.9
2030-06-01 06:21,29d 15h 13m,+02h29m,189.0
2030-06-30 21:34,29d 13h 37m,+00h52m,213.7
2030-07-30 11:11,29d 11h 56m,-00h48m,244.5
2030-08-28 23:07,29d 10h 47m,-01h57m,279.9
2030-09-27 09:55,29d 10h 22m,-02h22m,310.2
2030-10-26 20:17,29d 10h 30m,-02h15m,332.4
2030-11-25 06:46,29d 10h 46m,-01h58m,349.8
2030-12-24 17:32,29d 10h 59m,-01h45m,5.3
2031-01-23 04:31,29d 11h 18m,-01h26m,21.6
2031-02-21 15:49,29d 12h 00m,-00h44m,41.9
2031-03-23 03:49,29d 13h 08m,+00h24m,70.3
2031-04-21 16:57,29d 14h 20m,+01h36m,106.4
2031-05-21 07:17,29d 15h 07m,+02h23m,139.8
2031-06-19 22:25,29d 15h 16m,+02h31m,165.9
2031-07-19 13:40,29d 14h 52m,+02h08m,188.7
2031-08-18 04:32,29d 14h 15m,+01h31m,213.5
2031-09-16 18:47,29d 13h 34m,+00h50m,245.2
2031-10-16 08:21,29d 12h 49m,+00h05m,281.8
2031-11-14 21:09,29d 11h 56m,-00h48m,312.6
2031-12-14 09:06,29d 11h 01m,-01h43m,334.7
2032-01-12 20:07,29d 10h 18m,-02h27m,351.6
2032-02-11 06:24,29d 10h 00m,-02h44m,6.9
2032-03-11 16:25,29d 10h 15m,-02h29m,23.4
2032-04-10 02:39,29d 10h 56m,-01h48m,44.4
2032-05-09 13:36,29d 11h 56m,-00h48m,73.2
2032-06-08 01:32,29d 13h 09m,+00h25m,108.4
2032-07-07 14:41,29d 14h 30m,+01h46m,140.6
2032-08-06 05:11,29d 15h 45m,+03h01m,166.3
2032-09-04 20:56,29d 16h 30m,+03h46m,189.3
2032-10-04 13:26,29d 16h 19m,+03h35m,215.1
2032-11-03 05:45,29d 15h 08m,+02h24m,248.6
2032-12-02 20:53,29d 13h 24m,+00h40m,286.1
2033-01-01 10:17,29d 11h 43m,-01h01m,315.8
2033-01-30 22:00,29d 10h 24m,-02h20m,336.6
2033-03-01 08:23,29d 09h 28m,-03h16m,353.0
2033-03-30 17:51,29d 08h 55m,-03h49m,8.3
2033-04-29 02:46,29d 08h 50m,-03h54m,25.1
2033-05-28 11:36,29d 09h 30m,-03h14m,46.0
2033-06-26 21:07,29d 11h 06m,-01h39m,74.1
2033-07-26 08:12,29d 13h 27m,+00h43m,108.5
2033-08-24 21:40,29d 16h 00m,+03h16m,140.6
2033-09-23 13:40,29d 17h 49m,+05h05m,166.6
2033-10-23 07:28,29d 18h 11m,+05h27m,190.3
2033-11-22 01:39,29d 17h 07m,+04h23m,217.2
2033-12-21 18:46,29d 15h 15m,+02h31m,252.0
2034-01-20 10:01,29d 13h 09m,+00h25m,289.0
2034-02-18 23:10,29d 11h 04m,-01h40m,317.3
2034-03-20 10:14,29d 09h 11m,-03h33m,337.6
2034-04-18 19:26,29d 07h 47m,-04h57m,353.9
2034-05-18 03:12,29d 07h 13m,-05h31m,9.0
2034-06-16 10:26,29d 07h 49m,-04h55m,25.4
2034-07-15 18:15,29d 09h 38m,-03h06m,45.9
2034-08-14 03:53,29d 12h 21m,-00h23m,73.9
2034-09-12 16:14,29d 15h 19m,+02h35m,108.6
2034-10-12 07:33,29d 17h 44m,+05h00m,141.4
2034-11-11 01:16,29d 18h 58m,+06h14m,168.1
2034-12-10 20:14,29d 18h 49m,+06h05m,192.5
2035-01-09 15:03,29d 17h 19m,+04h35m,220.5
2035-02-08 08:22,29d 14h 47m,+02h03m,255.7
2035-03-09 23:09,29d 11h 48m,-00h56m,291.6
2035-04-08 10:58,29d 09h 06m,-03h38m,318.8
2035-05-07 20:04,29d 07h 17m,-05h27m,338.4
2035-06-06 03:21,29d 06h 39m,-06h05m,354.2
2035-07-05 09:59,29d 07h 12m,-05h32m,9.1
2035-08-03 17:12,29d 08h 48m,-03h56m,25.6
2035-09-02 01:59,29d 11h 07m,-01h37m,46.4
2035-10-01 13:07,29d 13h 52m,+01h08m,75.0
2035-10-31 02:59,29d 16h 39m,+03h55m,110.7
2035-11-29 19:37,29d 18h 53m,+06h09m,144.1
2035-12-29 14:31,29d 19h 46m,+07h02m,171.0
2036-01-28 10:17,29d 18h 42m,+05h58m,195.6
2036-02-27 04:59,29d 15h 57m,+03h13m,223.9
2036-03-27 20:57,29d 12h 36m,-00h08m,258.5
2036-04-26 09:33,29d 09h 44m,-03h00m,292.8
2036-05-25 19:17,29d 07h 53m,-04h51m,318.9
2036-06-24 03:09,29d 07h 07m,-05h37m,338.2
2036-07-23 10:17,29d 07h 18m,-05h26m,354.1
2036-08-21 17:35,29d 08h 16m,-04h28m,9.3
2036-09-20 01:51,29d 09h 58m,-02h46m,25.8
2036-10-19 11:50,29d 12h 24m,-00h20m,46.7
2036-11-18 00:14,29d 15h 20m,+02h36m,76.0
2036-12-17 15:34,29d 18h 00m,+05h16m,113.0
2037-01-16 09:34,29d 19h 20m,+06h36m,146.7
2037-02-15 04:54,29d 18h 42m,+05h58m,173.2
2037-03-16 23:36,29d 16h 31m,+03h47m,197.5
2037-04-15 16:08,29d 13h 47m,+01h03m,225.1
2037-05-15 05:54,29d 11h 16m,-01h28m,258.7
2037-06-13 17:10,29d 09h 22m,-03h23m,292.3
2037-07-13 02:32,29d 08h 10m,-04h34m,318.7
2037-08-11 10:41,29d 07h 44m,-05h00m,338.4
2037-09-09 18:25,29d 08h 09m,-04h35m,354.5
2037-10-09 02:34,29d 09h 29m,-03h15m,9.6
2037-11-07 12:03,29d 11h 35m,-01h09m,26.3
2037-12-06 23:38,29d 14h 03m,+01h19m,48.0
2038-01-05 13:41,29d 16h 11m,+03h27m,79.2
2038-02-04 05:52,29d 17h 23m,+04h39m,117.1
2038-03-05 23:15,29d 17h 28m,+04h44m,149.9
2038-04-04 16:43,29d 16h 37m,+03h53m,175.3
2038-05-04 09:19,29d 15h 05m,+02h21m,198.9
2038-06-03 00:24,29d 13h 08m,+00h24m,226.0
2038-07-02 13:32,29d 11h 08m,-01h36m,259.5
2038-08-01 00:40,29d 09h 32m,-03h12m,293.3
